Case ID,Category,Status,Finding,Diagnosis,Root Cause,Evidence,Explanation,Recommended Solution,Confidence
NET-021,ACL,FAIL,ACL is blocking ICMP traffic.,ACL blocks ICMP.,,"# NET-021 – ACL Blocks Ping

## Problem
The network was working normally, but an Access Control List (ACL) was configured to block ICMP traffic. As a result, the PC could no longer ping the server.

## Topology
- 1 Cisco 1941 Router
- 2 Cisco 2960 Switches
- 1 PC
- 1 Server
- PC0 → Switch0 → R1 → Switch1 → Server0

## IP Configuration

**R1 G0/0:** `192.168.21.1 / 255.255.255.0` 
**R1 G0/1:** `192.168.22.1 / 255.255.255.0`

**PC0:** `192.168.21.10 / 255.255.255.0` 
**Default Gateway:** `192.168.21.1`

**Server0:** `192.168.22.10 / 255.255.255.0` 
**Default Gateway:** `192.168.22.1`

## Initial Verification

Before applying the ACL, connectivity between PC0 and Server0 was tested using:

```bash
ping 192.168.22.10

```

The result was:

Reply from 192.168.22.10
Packets: Sent = 4, Received = 4, Lost = 0 (0% loss)

This confirmed that the network was working correctly before the fault was introduced.

## Fault Creation

An extended ACL numbered 100 was created on R1 to deny ICMP traffic:

configure terminal
access-list 100 deny icmp any any
access-list 100 permit ip any any

The ACL was then applied to the interface connected toward the server LAN:

interface gigabitEthernet 0/1
ip access-group 100 out
exit
end
Verification

The ACL configuration was checked using:

show access-lists

The configuration contains:

Extended IP access list 100
 deny icmp any any
 permit ip any any

The applied ACL was verified using:

show running-config

The interface configuration contains:

interface GigabitEthernet0/1
 ip access-group 100 out
Fault Testing

After applying the ACL, PC0 attempted to ping the server again:

ping 192.168.22.10

## The result was:

Reply from 192.168.21.1: Destination host unreachable.
Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)

The ping failure confirms that ICMP traffic is being blocked by the ACL.

Successful Ping Before ACL

Failed Ping After ACL

ACL Configuration

## Result

The ACL fault was successfully created. Before applying the ACL, PC0 could communicate with Server0 successfully. After applying ACL 100 to R1 GigabitEthernet0/1, ICMP traffic was denied and the ping from PC0 to Server0 failed with 100% packet loss.

## What I Learned
How Access Control Lists (ACLs) work
How to create an extended ACL
How to deny ICMP traffic using an ACL
How to permit other IP traffic using an ACL
How to apply an ACL to a router interface
How to verify ACL configuration using show access-lists
How to verify interface ACL configuration using show running-config
How to test the effect of an ACL using ping",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,HIGH
NET-022,ACL,FAIL,ACL is blocking HTTP traffic.,ACL blocks HTTP.,,"# NET-022 – ACL Blocks Web

## Problem
The web server was reachable by ping, but HTTP access was blocked by an incorrectly configured ACL.

## Topology
- 1 Cisco 1941 Router
- 2 Cisco 2960 Switches
- 1 PC
- 1 Web Server
- PC0 → Switch0 → R1
- R1 → Switch1 → Server0

## IP Configuration

**PC0:** `192.168.22.10 / 255.255.255.0` 
**R1 LAN Interface:** `192.168.22.1 / 255.255.255.0` 
**Server0:** `192.168.23.10 / 255.255.255.0` 
**R1 Server Interface:** `192.168.23.1 / 255.255.255.0`

## Solution

An extended ACL was created to block HTTP traffic to the web server:

```bash
access-list 101 deny tcp any host 192.168.23.10 eq 80
access-list 101 permit ip any any

```
The ACL was applied to the router interface connected to the server network:

interface gigabitEthernet 0/1
ip access-group 101 out

The first ACL rule blocks TCP traffic on port 80 (HTTP) to the web server, while the second rule permits all other IP traffic.

Verification

The ACL configuration was checked using:

show access-lists

## The result showed:

Extended IP access list 101
10 deny tcp any host 192.168.23.10 eq www (68 matches)
20 permit ip any any (4 matches)

The match count on the deny rule confirmed that HTTP traffic was being blocked.

Connectivity was tested using:

ping 192.168.23.10

Result: Ping continued to work because ICMP traffic was not blocked. ✅

HTTP access was tested from PC0 using:

http://192.168.23.10

Result: The web page was blocked by the ACL. ❌

## Result

The ACL successfully blocked HTTP traffic to the web server while allowing other IP traffic such as ICMP ping. The fault condition for NET-022 was successfully created and verified.

## What I Learned
How to create an extended ACL
How to block HTTP traffic using TCP port 80
How to apply an ACL to a router interface
How to use show access-lists for verification
How ACLs can selectively block specific types of network traffic
How to allow other traffic using permit ip any any",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"An extended ACL was created to block HTTP traffic to the web server:

```bash
access-list 101 deny tcp any host 192.168.23.10 eq 80
access-list 101 permit ip any any

```
The ACL was applied to the router interface connected to the server network:

interface gigabitEthernet 0/1
ip access-group 101 out

The first ACL rule blocks TCP traffic on port 80 (HTTP) to the web server, while the second rule permits all other IP traffic.

Verification

The ACL configuration was checked using:

show access-lists",HIGH
NET-023,ACL,FAIL,ACL placement is incorrect.,ACL placement is wrong.,,"# NET-023 – ACL Wrong Interface/Direction

## Problem
An ACL was applied to the wrong interface and direction on the router, causing network traffic to be blocked unexpectedly.

## Topology
- 1 Cisco 1941 Router
- 2 Cisco 2960 Switches
- 1 PC
- 1 Server
- PC0 → Switch0 → R1 → Switch1 → Server0

## IP Configuration

**PC0:** `192.168.22.10 / 255.255.255.0` 
**R1 GigabitEthernet0/0:** `192.168.22.1 / 255.255.255.0` 
**R1 GigabitEthernet0/1:** `192.168.23.1 / 255.255.255.0` 
**Server0:** `192.168.23.10 / 255.255.255.0`

## Solution

An extended ACL was created to deny traffic from the server network to the PC network:

```bash
access-list 101 deny ip 192.168.23.0 0.0.0.255 192.168.22.0 0.0.0.255
access-list 101 permit ip any any

```
The ACL was intentionally applied to the wrong interface and direction to create the fault:

interface gigabitEthernet 0/0
ip access-group 101 out

This caused traffic from PC0 toward the remote server network to be blocked unexpectedly.

Verification

The ACL configuration was checked using:

show access-lists

The interface configuration was checked using:

show running-config

The configuration confirmed that ACL 101 was applied to GigabitEthernet0/0 in the outbound direction:

interface GigabitEthernet0/0
ip access-group 101 out

Connectivity was tested from PC0 using:

ping 192.168.23.10

The result was:

Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)

Result: Traffic was blocked unexpectedly. ❌

Ping Verification

## Result

The ACL was successfully configured and intentionally applied to the wrong interface and direction. As a result, communication from PC0 to the server network was blocked, successfully reproducing the NET-023 fault condition.

## What I Learned
How to create an extended ACL
How to apply an ACL to a router interface
How inbound and outbound ACL directions affect traffic
How an ACL applied to the wrong interface can block valid traffic
How to verify ACL configuration using show access-lists
How to verify interface ACL placement using show running-config
How to test network connectivity using ping",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"An extended ACL was created to deny traffic from the server network to the PC network:

```bash
access-list 101 deny ip 192.168.23.0 0.0.0.255 192.168.22.0 0.0.0.255
access-list 101 permit ip any any

```
The ACL was intentionally applied to the wrong interface and direction to create the fault:

interface gigabitEthernet 0/0
ip access-group 101 out

This caused traffic from PC0 toward the remote server network to be blocked unexpectedly.

Verification

The ACL configuration was checked using:

show access-lists

The interface configuration was checked using:

show running-config

The configuration confirmed that ACL 101 was applied to GigabitEthernet0/0 in the outbound direction:

interface GigabitEthernet0/0
ip access-group 101 out

Connectivity was tested from PC0 using:

ping 192.168.23.10

The result was:

Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)

Result: Traffic was blocked unexpectedly. ❌

Ping Verification",HIGH
NET-024,NAT,NOT_CHECKED,NAT configuration information is unavailable.,NAT missing.,,"# NET-024 – NAT Not Configured

## Problem

A private PC needs to communicate with an outside server, but NAT is not configured on the router.

## Topology

```text
PC0 ─── Switch0 ─── Router0 ─── Server0

Devices used:

1 PC
1 Cisco 2960 Switch
1 Cisco 1941 Router
1 Server
IP Addressing
PC0 – Private Network
IP Address: 192.168.10.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.1
Router0
G0/0: 192.168.10.1
G0/1: 192.168.20.1
Server0 – Outside Network
IP Address: 192.168.20.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.20.1
Step 1 – Check Router Interfaces

The router interfaces were checked using:

show ip interface brief

Both interfaces were configured and enabled.

Step 2 – Check NAT Translation

The NAT table was checked using:

show ip nat translations

Initially, no NAT translation was present.

Step 3 – Check Running Configuration

The router configuration was checked using:

show running-config

No NAT configuration was present.

Root Cause

The router did not have NAT configured.

Therefore, private network traffic was not being translated.

Solution

The private router interface was configured as the NAT inside interface:

interface gigabitEthernet 0/0
ip nat inside

The outside interface was configured as:

interface gigabitEthernet 0/1
ip nat outside

A NAT ACL was created:

access-list 1 permit 192.168.10.0 0.0.0.255

PAT was configured using:

ip nat inside source list 1 interface gigabitEthernet 0/1 overload
Step 4 – Verify NAT Configuration

The configuration was checked again using:

show running-config

The NAT configuration was now present.

Step 5 – Generate Traffic

Traffic was generated from PC0 using:

ping 192.168.20.10
Step 6 – Verify NAT Translation

The NAT table was checked again:

show ip nat translations

A NAT translation appeared after traffic was generated.

Result

The NAT configuration problem was successfully identified and fixed.

Initially, no NAT translation was present. After configuring NAT and generating traffic, a NAT translation appeared.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-025,NAT,NOT_CHECKED,NAT interface role information is unavailable.,NAT interface roles wrong.,,"# NET-025 – Wrong NAT Inside/Outside Interface

## Problem

Private network traffic is not being translated because the NAT inside and outside interfaces are configured incorrectly.

## Topology

```text
PC0 ─── Switch0 ─── Router0 ─── Server0

IP Addressing
PC0
IP Address: 192.168.10.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.1
Router0
G0/0: 192.168.10.1
G0/1: 192.168.20.1
Server0
IP Address: 192.168.20.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.20.1
Problem Creation

The NAT interfaces were intentionally configured incorrectly.

The private interface was configured as:

G0/0 → ip nat outside

The outside interface was configured as:

G0/1 → ip nat inside

The correct configuration should be:

G0/0 → ip nat inside
G0/1 → ip nat outside
Evidence

The router configuration was checked using:

show running-config

The NAT roles were found to be incorrect.

The NAT translation table was also checked using:

show ip nat translations

The expected NAT translation was not created.

Root Cause

The NAT inside and outside interfaces were reversed.

The private interface was incorrectly marked as outside, and the outside interface was incorrectly marked as inside.

Solution

The private interface was corrected:

interface gigabitEthernet 0/0
no ip nat outside
ip nat inside

The outside interface was corrected:

interface gigabitEthernet 0/1
no ip nat inside
ip nat outside
Verification

The router configuration was checked again using:

show running-config

The correct NAT roles were now visible.

Traffic was generated from PC0 using:

ping 192.168.20.10

The NAT translation table was checked again:

show ip nat translations

A NAT translation was now created.

Result

The wrong NAT inside/outside interface configuration was successfully identified and corrected.

After assigning the correct NAT roles, NAT translation worked correctly.

What I Learned
What NAT inside means.
What NAT outside means.
How to identify inside and outside interfaces.
How to check NAT configuration using show running-config.
How to check NAT translations using show ip nat translations.
Why incorrect NAT interface roles can prevent NAT translation.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-026,NAT,NOT_CHECKED,NAT ACL information is unavailable.,NAT ACL mismatch.,,"# NET-026 – NAT ACL Wrong

## Problem

One private PC is translated by NAT, but another private PC is not translated.

## Topology

```text
PC0 ──┐
 │
PC1 ──┼── Switch0 ── Router0 ── Server0

IP Addressing
PC0
IP Address: 192.168.10.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.1
PC1
IP Address: 192.168.10.11
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.1
Router0
G0/0: 192.168.10.1
G0/1: 192.168.20.1
Server0
IP Address: 192.168.20.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.20.1
Problem Creation

The NAT ACL was intentionally configured to allow only PC0:

access-list 1 permit host 192.168.10.10

Therefore:

PC0 → NAT allowed
PC1 → NAT not allowed
Evidence

The ACL was checked using:

show access-lists

The ACL only allowed PC0.

Traffic was generated from both PCs and the NAT table was checked using:

show ip nat translations

PC0 produced a NAT translation, while PC1 was not included because it was not permitted by the ACL.

Root Cause

The NAT ACL did not include PC1.

The ACL only permitted:

192.168.10.10

but PC1 had:

192.168.10.11

Therefore, PC1 did not match the NAT ACL.

Solution

The incorrect ACL was removed:

no access-list 1

A new ACL was created for the complete private network:

access-list 1 permit 192.168.10.0 0.0.0.255

This allows both PC0 and PC1 to be translated.

Verification

The corrected ACL was checked using:

show access-lists

Traffic was generated from PC1:

ping 192.168.20.10

The NAT translation table was checked again:

show ip nat translations

PC1 was now eligible for NAT translation.

Result

The NAT ACL mismatch was successfully identified and corrected.

Initially, the ACL allowed only PC0. After changing the ACL to allow the complete private network, both PCs were allowed to participate in NAT.

What I Learned
What a NAT ACL does.
How an ACL controls which private addresses are translated.
How to check an ACL using show access-lists.
How to check NAT translations using show ip nat translations.
How to correct a NAT ACL mismatch.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-027,Wireless,NOT_CHECKED,SSID information is unavailable.,Wrong SSID.,"The SSID was incorrect.

The laptop was intended to connect to:

`CampusWiFi`

but the Access Point was using:

`WrongWiFi`

Therefore, the laptop could not join the intended Wi-Fi network.","# NET-027 – Wrong SSID

## Problem

The laptop cannot join the intended Wi-Fi network.

## Topology

- 1 Access Point
- 1 Laptop

## Configuration

The Access Point was configured with the SSID:

`CampusWiFi`

![AP SSID](screenshots/02-ap-ssid.png)

## Initial Connection

The laptop was able to connect successfully to the Access Point.

![Successful Connection](screenshots/03-connected.png)

## Fault Created

The Access Point SSID was changed to:

`WrongWiFi`

This created an SSID mismatch between the intended wireless network and the configured network.

![Wrong SSID](screenshots/04-wrong-ssid.png)

## Root Cause

The SSID was incorrect.

The laptop was intended to connect to:

`CampusWiFi`

but the Access Point was using:

`WrongWiFi`

Therefore, the laptop could not join the intended Wi-Fi network.

## Solution

The Access Point SSID was changed back to:

`CampusWiFi`

The laptop was then connected to the correct wireless network.

![Connection Successful](screenshots/05-connection-success.png)

## Result

The wireless connection was successfully restored by using the correct SSID.

## What I Learned

- SSID is the name of a Wi-Fi network.
- The correct wireless network must be selected.
- An incorrect SSID can prevent a device from joining the intended Wi-Fi network.
- Checking the wireless settings helps identify the problem.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"The Access Point SSID was changed back to:

`CampusWiFi`

The laptop was then connected to the correct wireless network.

![Connection Successful](screenshots/05-connection-success.png)",MEDIUM
NET-028,Wireless,NOT_CHECKED,Wireless password information is unavailable.,Wrong wireless password.,The wireless client was using a different password from the Access Point.,"# NET-028 – Wrong Wi-Fi Password

## Problem

The laptop can see the Wi-Fi network but cannot authenticate because the wireless password is incorrect.

## Topology

- 1 Access Point
- 1 Laptop

## Access Point Configuration

SSID:

`CampusWiFi`

Wi-Fi Password:

`Cisco123`

## Problem Created

The laptop was configured with the wrong Wi-Fi password:

`Wrong123`

The password did not match the password configured on the Access Point.

## Observed Problem

The laptop could see the Wi-Fi network but authentication failed because the password was incorrect.

## Root Cause

The wireless client was using a different password from the Access Point.

## text
Access Point Password: Cisco123
Laptop Password: Wrong123

Solution

The laptop password was changed to the correct password:

Cisco123

Result

The laptop successfully authenticated and connected to the Access Point.

## What I Learned
A Wi-Fi network can be visible even when the password is incorrect.
The wireless client must use the correct security key/password.
If the password does not match the Access Point, authentication fails.
Entering the correct Wi-Fi password restores the connection.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-029,Wireless,NOT_CHECKED,Wireless network information is unavailable.,Wireless DHCP/network problem.,"The DHCP service was not configured for the wireless network.

The laptop requested an IP address, but there was no DHCP pool available to provide one.","# NET-029 – Wireless Client Gets No IP

## Problem

The laptop can connect to the wireless network, but it does not receive a usable IP address.

## Topology

- 1 Router
- 1 Access Point
- 1 Laptop

## Network Configuration

Router LAN IP:

`192.168.30.1`

Wireless SSID:

`CampusWiFi`

## Problem Created

The router interface was configured with an IP address, but DHCP was not configured.

Therefore, the laptop could connect to the Access Point but could not receive a usable IP address.

![Laptop No IP](screenshots/03-laptop-no-ip.png)

## Root Cause

The DHCP service was not configured for the wireless network.

The laptop requested an IP address, but there was no DHCP pool available to provide one.

## Solution

A DHCP pool was created on the router.

## text

ip dhcp pool WIFI

network 192.168.30.0 255.255.255.0

default-router 192.168.30.1

Result

The laptop successfully received an IP address from the DHCP server.

Example:

IPv4 Address: 192.168.30.x
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.30.1

Connectivity Test

The laptop successfully pinged the router.

Conclusion

The problem was caused by missing DHCP configuration.

After configuring DHCP on the router, the wireless client successfully received an IP address and communicated with the router.

## What I Learned

A device can connect to Wi-Fi without having a usable IP address.

DHCP automatically provides IP addresses to devices.

The router can be configured as a DHCP server.

ipconfig can be used to check the client's IP configuration.

ping can be used to test connectivity.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,A DHCP pool was created on the router.,MEDIUM
NET-030,Wireless,NOT_CHECKED,AP VLAN information is unavailable.,AP port VLAN mismatch.,,"The VLAN configuration was checked using:

show vlan brief

The command showed that the Access Point's switch port Fa0/1 was assigned to VLAN 20 instead of VLAN 10.

The switch interface status was also checked using:

show interfaces status
Root Cause

The root cause was an incorrect VLAN assignment on the switch port connected to the Access Point.

The configuration was:

Fa0/1 → VLAN 20 ❌

The required configuration was:

Fa0/1 → VLAN 10 ✅",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,The Access Point's switch port was changed to VLAN 10.,MEDIUM
